Title,Artist Display Name,Artist Display Bio,Culture,Department,Classification,Object Date,Link Resource,image_link
Terracotta vase in the form of a fish,,,Egyptian,Greek and Roman Art,Vases,ca. 1600 BCE,http://www.metmuseum.org/art/collection/search/240419,https://collectionapi.metmuseum.org/api/collection/v1/iiif/240419/2275239/main-image
Terracotta vessel,,,Egyptian,Greek and Roman Art,Vases,ca. 1600 BCE,http://www.metmuseum.org/art/collection/search/240817,https://collectionapi.metmuseum.org/api/collection/v1/iiif/240817/2270390/main-image
Faience vase fragment,,,"Egyptian, Roman",Greek and Roman Art,Vases,late 1st century BCE–1st century CE,http://www.metmuseum.org/art/collection/search/250212,https://collectionapi.metmuseum.org/api/collection/v1/iiif/250212/534606/main-image
Platter,,,Kabyle peoples,"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,Early to mid-20th century,http://www.metmuseum.org/art/collection/search/635648,https://collectionapi.metmuseum.org/api/collection/v1/iiif/635648/1631113/restricted
Platter,,,Kabyle peoples,"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,early to mid-20th century,http://www.metmuseum.org/art/collection/search/635655,https://collectionapi.metmuseum.org/api/collection/v1/iiif/635655/1631115/restricted
Platter,,,Kabyle peoples,"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,early to mid-20th century,http://www.metmuseum.org/art/collection/search/635676,https://collectionapi.metmuseum.org/api/collection/v1/iiif/635676/1631117/restricted
Platter,,,Kabyle peoples,"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,early to mid-20th century,http://www.metmuseum.org/art/collection/search/635678,https://collectionapi.metmuseum.org/api/collection/v1/iiif/635678/1631119/restricted
Platter,,,Kabyle peoples,"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,early to mid-20th century,http://www.metmuseum.org/art/collection/search/635685,https://collectionapi.metmuseum.org/api/collection/v1/iiif/635685/1631121/restricted
Platter,,,Kabyle peoples,"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,Early to mid-20th century,http://www.metmuseum.org/art/collection/search/635686,https://collectionapi.metmuseum.org/api/collection/v1/iiif/635686/1631123/restricted
Platter,,,Kabyle peoples,"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,early to mid-20th century,http://www.metmuseum.org/art/collection/search/635687,https://collectionapi.metmuseum.org/api/collection/v1/iiif/635687/1631125/restricted
Platter,,,Kabyle peoples,"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,early to mid-20th century,http://www.metmuseum.org/art/collection/search/635688,https://collectionapi.metmuseum.org/api/collection/v1/iiif/635688/1631127/restricted
Platter,,,Kabyle peoples,"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,early to mid-20th century,http://www.metmuseum.org/art/collection/search/635689,https://collectionapi.metmuseum.org/api/collection/v1/iiif/635689/1631129/restricted
Platter,,,Kabyle peoples,"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,early to mid-20th century,http://www.metmuseum.org/art/collection/search/635690,https://collectionapi.metmuseum.org/api/collection/v1/iiif/635690/1633232/restricted
Vessel,,,We or Guere peoples,"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,20th century,http://www.metmuseum.org/art/collection/search/636830,https://collectionapi.metmuseum.org/api/collection/v1/iiif/636830/1631111/restricted
Vessel,,,"Kirdi peoples, Mafa group","Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,20th century,http://www.metmuseum.org/art/collection/search/636834,https://collectionapi.metmuseum.org/api/collection/v1/iiif/636834/1631098/restricted
Jar for Palm Wine,,,Igbo peoples,"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,20th century,http://www.metmuseum.org/art/collection/search/636835,https://collectionapi.metmuseum.org/api/collection/v1/iiif/636835/1631100/restricted
Water or Palm Wine Vessel,,,Nupe peoples,"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,20th century,http://www.metmuseum.org/art/collection/search/636836,https://collectionapi.metmuseum.org/api/collection/v1/iiif/636836/1631097/restricted
Lidded Bowl,,,Bamileke or Bamum,"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,20th century,http://www.metmuseum.org/art/collection/search/636837,https://collectionapi.metmuseum.org/api/collection/v1/iiif/636837/1631089/restricted
Vessel with Stylized Spider Motif,,,Bamileke or Bamum,"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,20th century,http://www.metmuseum.org/art/collection/search/636838,https://collectionapi.metmuseum.org/api/collection/v1/iiif/636838/1631087/restricted
Vessel,,,Nyoro peoples,"Arts of Africa, Oceania, and the Americas",Ceramics-Vessels,20th century,http://www.metmuseum.org/art/collection/search/636839,https://collectionapi.metmuseum.org/api/collection/v1/iiif/636839/1631092/restricted
